Название;Номер аттестата аккредитации;Срок действия аттестата;Адрес центра;Телефоны центра;Руководитель
ФГУП Научно-исследовательский институт радио (ИЦ НИИР);ИЦ-02-13;17.06.2015;105064, г.Москва, ул.Казакова, д.16;Тел./факс: (499) 267-72-55;Начальник ИЦ Кокошкин Игорь Валентинович
ООО «СВИТ»;ИЦ-03-04;25.09.2012;105064, г. Москва, Казакова ул., 16;Тел./факс: (499) 261-11-06, факс (499) 267-72-40;Начальник ИЦ Цирлин Виктор Маркович
ГОУ ВПО Московский технический университет связи и информатики (ИЦ МТУСИ);ИЦ-04-13;30.03.2015;111024, Москва, ул. Авиамоторная д. 8А;Тел./факс: 957-79-69, факс 105-04-20;Начальник ИЦ Малафеев Владимир Михайлович
ОАО по разработке и совершенствованию технологии строительства сооружений связи «ССКТБ-ТОМАСС» (ОАО «ССКТБ-ТОМАСС»);ИЦ-05-08;15.10.2014;105066, г. Москва, ул. Нижняя Красносельская, д.13, стр1;Тел./факс: (499) 261-33-14, факс (499) 267-33-98;Начальник ИЦ Шендерович Леонид Александрович
ООО Испытательный центр документальной электросвязи (ООО «ИЦ ДЭС»);ИЦ-07-12;16.06.2014;111024, г. Москва, ул. Авиамоторная, д. 8а;Тел./факс: 673-48-83, факс 673-30-29;Начальник ИЦ Загубин Юрий Викторович
ГОУ ВПО «Санкт-Петербургский государственный университет телекоммуникаций им. проф. М.А. Бонч-Бруевича»  (ИЦ ГУТ);ИЦ-08-11;04.08.2015;191186, Санкт-Петербург, наб реки Мойки, д. 61;Тел./факс: (812) 315-01-18, факс (812) 315-32-27;Руководитель ИЦ Гоголь Александр Александрович
ФГУП  «Центральный научно-исследовательский институт связи» (ИЦ ЦНИИС);ИЦ-11-14;24.05.2015;111141, Москва, 1-й проезд Перова поля, д.8;Тел./факс: 368-91-80, факс 674-00-67;И.о. директора ИЦ Лупанин Виктор Павлович
ЗАО «Институт сотовой связи» (ЗАО «ИСС»);ИЦ-13-10;26.04.2015;109147, г. Москва, ул. Марксистская, д. 34, строение 10;Тел./факс: 671-44-28, 671-44-12, факс 671-42-81;Директор ИЦ Арефьев Владимир Александрович
АНО «Сертификационный Центр Связь-сертификат»;ИЛ-14-04;20.06.2013;121374, г. Москва, Можайское шоссе, д.8;Тел./факс: 443-70-14, факс 443-62-11;Начальник ИЛ Зайцев Юрий Анатольевич
ЗАО «КБ РТИ» (ИЦ ЗАО «КБ РТИ»);ИЦ-16-06;17.05.2015;127083, г.Москва, ул. 8 Марта, д.10, стр.2;Тел./факс: 725-07-59, факс 968-98-46;Руководитель ИЦ Вайсман Юрий Исаакович
ФГУП  «Российская телевизионная и радиовещательная сеть» (ФГУП «РTРC»);ИЦ-15-07;12.02.2015;127427, г. Москва, ул. Академика Королёва, д.15, корп.2;Тел./факс: 602-22-76;Начальник ИЦ Кононенко Александр Владимирович
ЗАО  Научно-испытательный центр «САМТЭС» (ЗАО НИЦ «САМТЭС»);ИЛ-18-03;14.06.2012;115114, г. Москва, 2-й Кожевнический пер., 4/6;Тел./факс: 235-29-04, факс 956-27-17;Начальник ИЦ Фадеев Николай Александрович
АНО «ИЛ Тест-телеком»;ИЦ-19-02;05.10.2012;127106, г. Москва, Гостиничный проезд, д.6, корп.2;Тел./факс: 956-64-08, 580-78-32;Начальник ИЛ Волоконский Владимир Васильевич
ООО «Центральное конструкторское бюро информационных технологий и связи» (ООО «ЦКБ связи»);ИЦ-20-08;26.07.2015;123098, г. Москва, ул. Новощукинская, д. 7, стр.2;Тел./факс: (499) 190-64-20;Начальник ИЦ Травкин Александр Александрович
ООО «Центральная сертификационная лаборатория» (ООО «ЦСЛ»);ИЛ-21-01;01.06.2011;123103, г. Москва, проспект Маршала Жукова, д. 76, к.2, секция 2;Тел./факс: (499) 940-02-10;Начальник ИЛ Рубинраут Владимир Ефимович
ГОУ ВПО «Сибирский государственный университет телекоммуникаций и информатики» (ГОУ ВПО СибГУТИ);ИЛ-22-05;26.05.2013;630102, г. Новосибирск, ул. Кирова, 86;Тел./факс: (3832) 66-61-17, факс (3832) 66-10-39;Начальник ИЛ Петров Виктор Петрович
ЗАО «Испытательный центр МирТелеТест» (ЗАО ИЦ МТТ);ИЛ-26-04;04.03.2013;111024, Москва, Ул. Авиамоторная д. 8А;Тел./факс: 957-70-36, тел./факс 957-70-25;Начальник ИЛ Фадеев Анатолий Николаевич
ООО «Испытательный центр «РАДИОТЕЛЕФОН» (ООО ИЦ «РАДИОТЕЛЕФОН»);ИЛ-27-07;26.08.2014;394018, г.Воронеж, ул.Плехановская, д.14;Тел./факс: (0732) 52-12-53, факс: (0732) 35-50-88;"Директор Шухмин Владислав Леонидович; Начальник ИЛ Звягин Виктор Георгиевич"
ООО «Итекон»;ИЛ-28-03;03.09.2012;420012, г. Казань, , ул. Гарифьянова, д.28а,;тел. 843 228-65-63, факс: 843 228-65-73;Руководитель ИЛ Овчинников Алексей Леонидович
АНО «ИЦ АТТ»;ИЛ-30-06;17.06.2014;614068, г. Пермь, ул. Окулова, 80;Тел./факс: 342 236-24-29 факс 342 239-08-51;Начальник ИЛ Полоскина Екатерина Михайловна
ЗАО «Исследовательский центр связи»;ИЦ-31-06;04.06.2013;111024, г. Москва, ул. Авиамоторная, д.8, стр.12;Тел./факс: 785-15-08;Начальник ИЦ Кондрашов Сергей Федорович
ЗАО НТЦ «Комсет»;ИЦ-32-10;06.07.2015;105037, г. Москва, ул. 1-я Парковая, д.7;Тел./факс: (495)  101-34-03 Факс: (495) 101-34-04;Директор ИЦ Мельник Сергей Владиславович
Федеральное государственное учреждение «Отраслевой центр мониторинга и развития в сфере инфокоммуникационных технологий»  (Центр МИР ИТ);ИЦ-34;02.03.2012;125375, г. Москва, Ул. Тверская, д.7;Тел./факс: (495) 692-34-43;Начальник ИЦ Масюк Юрий Владимирович
ОАО «Интеллект-Телеком»;ИЦ-35-04;25.01.2015;109044, Москва, ул. Мельникова, д.29;Тел./факс: 739-79-79;Начальник ИЦ Лихачев Николай Иванович
ЗАО «ЦСТСО»;ИЛ-12-01;30.06.2013;107113, г. Москва, ул. Лобачика, д. 11, 2-й эт., каб.25;Тел./факс: 495 988-26-63, 495 988-26-64, 495 988-84-76;Начальник ИЛ Котов Алексей Николаевич
ФГУП Государственный специализированный проектный институт радио и телевидения (ФГУП ГСПИ РТВ);ИЦ-17-01;09.02.2014;109004, г. Москва, Николоямский пер., д.3А;Тел./факс: 495 915-71-28, факс: 495 915-08-03;Начальник ИЦ Аблин Натан Борисович
ОАО «Южная телекоммуникационная компания» (ОАО «ЮТК»);ИЛ-33-02;19.07.2015;344082, г. Ростов-на-Дону, пер. Братский, 47;Тел./факс: (863) 244-27-01, факс (863) 267-56-71;Начальник ИЛ Усик Александр Сергеевич
ЗАО «Научно-исследовательский центр «Новые интеллектуальные системы» (ЗАО «НИЦ НИНСИСТ»);ИЦ-36-02;02.06.2015;111024, г. Москва, ул. Авиамоторная, д. 8а, стр.1;Тел./факс: 495 251-77-07, 495 250-85-77;Начальник ИЦ Догадов Александр Альбертович
